Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0679901245168665,0.597488812563121,0.877294534053913,0,0,0,79.5537197619101,1.64089584946242,-5.94676453121899E-07,-3.23528256055048E-06,7.38765675032663,1.08488702553043E-07,6.25234462192461,0,0,0,0,0,0,package://quadruped_robot/meshes/body.STL,0,0.752941176470588,0,1,0,0,0,0,0,0,package://quadruped_robot/meshes/body.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_thigh,0.063184,-4.007E-09,0.057964,0,0,0,2.85,0.013018,1.3023E-08,-0.0014314,0.012955,-1.9185E-09,0.0069244,0,0,0,0,0,0,package://quadruped_robot/meshes/front_right_thigh.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://quadruped_robot/meshes/front_right_thigh.STL,,thigh-1,Origin_front_right_thigh_joint,front_right_thigh,front_right_thigh_joint,revolute,0.31787,-1.0573,0.59749,1.3364,0,0,body,-1,0,0,0,0,-3.142,3.142,,,,,,,,
front_right_leg,0.147978463599939,-0.249716724037289,-0.0691629173327735,0,0,0,6.93816605315389,0.144761614224377,-0.00478960770176635,-4.32337385284504E-08,0.0173922062520311,2.48809490599282E-08,0.145237817762598,0,0,0,0,0,0,package://quadruped_robot/meshes/front_right_leg.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://quadruped_robot/meshes/front_right_leg.STL,,leg-2,Origin_front_right_leg_joint,front_right_leg,front_right_leg_joint,revolute,0,0,0,-2.9656,-1.5699,3.1416,front_right_thigh,1,0,0,0,0,-3.14,3.14,,,,,,,,
front_right_shin,-0.172005237714116,0.206758561093217,-2.48952136738811E-07,0,0,0,2.18910071138097,0.0495545056018013,2.08007780870588E-08,-8.99595218760083E-09,0.00191157868100471,-1.05542748879331E-07,0.0499443311744186,0,0,0,0,0,0,package://quadruped_robot/meshes/front_right_shin.STL,0,0,0,1,0,0,0,0,0,0,package://quadruped_robot/meshes/front_right_shin.STL,,shin-2,Origin_front_right_shin_joint,front_right_shin,front_right_shin_joint,revolute,-0.02707,-0.5123,-0.069163,0.79708,0,-3.1416,front_right_leg,-1,0,0,0,0,-3.14,3.14,,,,,,,,
front_left_thigh,0.0631841708535212,-8.38368596767225E-10,0.0579640138014491,0,0,0,2.85003544879558,0.0130181529222205,7.61330243145223E-09,-0.00143147540807124,0.0129553918936464,8.08769538970452E-11,0.00692438120955021,0,0,0,0,0,0,package://quadruped_robot/meshes/front_left_thigh.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://quadruped_robot/meshes/front_left_thigh.STL,,thigh-2,Origin_front_left_thigh_joint,front_left_thigh,front_left_thigh_joint,revolute,0.31787,-0.69729,0.59749,-1.6419,0,0,body,-1,0,0,0,0,-3.14,3.14,,,,,,,,
front_left_leg,0.116543235444283,-0.237417577827275,2.58670500574709E-08,0,0,0,6.93818133420775,0.144761814337306,-0.00478953683900206,-4.32179740601606E-08,0.0173922894177135,-6.31809584993948E-09,0.145238019251323,0,0,0,0,0,0,package://quadruped_robot/meshes/front_left_leg.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://quadruped_robot/meshes/front_left_leg.STL,,leg-3,Origin_front_left_leg_joint,front_left_leg,front_left_leg_joint,revolute,0.070219,0,0.0315,-0.54504,-1.5699,-3.1416,front_left_thigh,1,0,0,0,0,-3.14,3.14,,,,,,,,
front_left_shin,-0.0850390568013732,0.206758662628732,2.40117578362287E-07,0,0,0,2.18909364696934,0.0495545183148702,-3.12793470971104E-09,-9.01438229118125E-09,0.00191161767954646,-1.07893299307646E-08,0.0499442655726713,0,0,0,0,0,0,package://quadruped_robot/meshes/front_left_shin.STL,0,0,0,1,0,0,0,0,0,0,package://quadruped_robot/meshes/front_left_shin.STL,,shin-5,Origin_front_left_shin_joint,front_left_shin,front_left_shin_joint,revolute,0.028461,-0.5,0,-1.8903,0,3.1416,front_left_leg,-1,0,0,0,0,-3.14,3.14,,,,,,,,
back_right_thigh,0.063184254934068,7.39481836875555E-09,0.0579639904746756,0,0,0,2.85003646130647,0.0130181134641405,-1.05523312495795E-08,-0.00143136304733187,0.0129553224627679,3.27231693976991E-09,0.00692435062908395,0,0,0,0,0,0,package://quadruped_robot/meshes/back_right_thigh.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://quadruped_robot/meshes/back_right_thigh.STL,,thigh-4,Origin_back_right_thigh_joint,back_right_thigh,back_right_thigh_joint,revolute,-0.18189,-1.0573,0.59749,-1.2051,0,3.1416,body,-1,0,0,0,0,-3.14,3.14,,,,,,,,
back_right_leg,0.273408176052154,-0.237417522053995,-3.3895331374989E-08,0,0,0,6.93817966820701,0.144761749953298,-0.00478948379905405,-4.07485358320386E-08,0.0173922701962726,-1.59821218390609E-08,0.145237945681615,0,0,0,0,0,0,package://quadruped_robot/meshes/back_right_leg.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://quadruped_robot/meshes/back_right_leg.STL,,leg-5,Origin_back_right_leg_joint,back_right_leg,back_right_leg_joint,revolute,0.070365,0,-0.12536,-0.60192,-1.5699,-3.1416,back_right_thigh,1,0,0,0,0,-3.14,3.14,,,,,,,,
back_right_shin,0.229259548212514,0.206758661500748,3.30231620937482E-08,0,0,0,2.18909743803364,0.0495545052471728,7.59388852798401E-11,-7.30049189026985E-09,0.00191161507124135,-4.31294461588423E-08,0.0499442473797568,0,0,0,0,0,0,package://quadruped_robot/meshes/back_right_shin.STL,0,0,0,1,0,0,0,0,0,0,package://quadruped_robot/meshes/back_right_shin.STL,,shin-3,Origin_back_right_shin_joint,back_right_shin,back_right_shin_joint,revolute,0.041106,-0.5,0,-2.0613,0,0,back_right_leg,-1,0,0,0,0,-3.14,3.14,,,,,,,,
